code,subject,province,city,city_id,distance_km,school_name,school_id,hours,language,itinerant,type,winner,you
206,MATEMÁTICAS,ALACANT,ALTEA,03002573,100,IES BELLAGUARDA,803799,,,NO,SUSTITUCIÓN INDETERMINADA,564,
206,MATEMÁTICAS,ALACANT,CALP,03013716,99,IES IFACH,866903,9,,NO,SUSTITUCIÓN DETERMINADA,,
206,MATEMÁTICAS,ALACANT,CALP,03016547,99,IES LES SALINES,912559,,,NO,SUSTITUCIÓN DETERMINADA,576,
206,MATEMÁTICAS,ALACANT,PEDREGUER,03015142,83,IES DE PEDREGUER,874304,6,ING.,NO,SUSTITUCIÓN DETERMINADA,,
206,MATEMÁTICAS,ALACANT,XÀBIA,03006244,89,IES ANTONI LLIDÓ,825576,9,,NO,SUSTITUCIÓN DETERMINADA,,
206,MATEMÁTICAS,ALACANT,ALCOI,03000394,86,IES PARE VITÒRIA,887778,,,NO,VACANTE,147,
206,MATEMÁTICAS,ALACANT,IBI,03006153,95,IES LA FOIA,211209,9,,NO,SUSTITUCIÓN DETERMINADA,,
206,MATEMÁTICAS,ALACANT,ALACANT,03013765,125,IES PLAYA SAN JUAN,917168,6,,NO,SUSTITUCIÓN DETERMINADA,57,
206,MATEMÁTICAS,ALACANT,ELX,03014873,137,IES VICENTE VERDÚ,906345,6,,NO,SUSTITUCIÓN DETERMINADA,,
206,MATEMÁTICAS,ALACANT,ELX - TORRELLANO,03015063,132,IES TORRELLANO,829685,6,,NO,SUSTITUCIÓN DETERMINADA,,
206,MATEMÁTICAS,ALACANT,RAFAL,03015634,157,IES DE RAFAL,873598,9,,NO,SUSTITUCIÓN INDETERMINADA,592,
206,MATEMÁTICAS,ALACANT,RAFAL,03015634,157,IES DE RAFAL,919055,,,NO,SUSTITUCIÓN DETERMINADA,586,
206,MATEMÁTICAS,ALACANT,TORREVIEJA,03016596,168,IES TORREVIGÍA,888150,,,NO,SUSTITUCIÓN DETERMINADA,,
206,MATEMÁTICAS,CASTELLÓ,BENICARLÓ,12003390,126,IES JOAN COROMINES,853135,,,NO,SUSTITUCIÓN DETERMINADA,563,
206,MATEMÁTICAS,CASTELLÓ,BENICARLÓ,12000480,126,IES RAMÓN CID,918166,6,,NO,SUSTITUCIÓN DETERMINADA,,
206,MATEMÁTICAS,CASTELLÓ,CASTELLÓ DE LA PLANA,12001228,64,IES FRANCESC RIBALTA,207136,,,NO,VACANTE,168,
206,MATEMÁTICAS,CASTELLÓ,CASTELLÓ DE LA PLANA,12001231,64,IES PENYAGOLOSA,897538,,,NO,SUSTITUCIÓN DETERMINADA,189,
206,MATEMÁTICAS,CASTELLÓ,ALMASSORA,12000251,59,IES ÁLVARO FALOMIR,888158,,,NO,SUSTITUCIÓN DETERMINADA,205,
206,MATEMÁTICAS,CASTELLÓ,LA VALL D'UIXÓ,12002661,41,IES HONORI GARCIA,873684,,,NO,SUSTITUCIÓN INDETERMINADA,182,
206,MATEMÁTICAS,CASTELLÓ,ONDA,12005741,56,IES EL TORRELLÓ,214893,6,,NO,SUSTITUCIÓN DETERMINADA,,
206,MATEMÁTICAS,VALÈNCIA,BENIFAIRÓ DE LES VALLS,46020273,30,IES LA VALL DE SEGÓ,201664,,,NO,SUSTITUCIÓN INDETERMINADA,144,
206,MATEMÁTICAS,VALÈNCIA,SAGUNT - EL PUERTO,46019854,25,IES MARÍA MOLINER,201758,,,NO,SUSTITUCIÓN INDETERMINADA,179,
206,MATEMÁTICAS,VALÈNCIA,LLÍRIA,46004841,26,IES CAMP DE TÚRIA,889262,,ING.,NO,SUSTITUCIÓN DETERMINADA,,
206,MATEMÁTICAS,VALÈNCIA,AYORA,46015733,74,IES FERNANDO III,213111,,,NO,SUSTITUCIÓN DETERMINADA,582,
206,MATEMÁTICAS,VALÈNCIA,VALÈNCIA - BENIMÀMET-BENIFERRI,46018916,5,IES BENIMÀMET,201933,,,NO,SUSTITUCIÓN INDETERMINADA,118,
206,MATEMÁTICAS,VALÈNCIA,MANISES,46017535,8,IES PERE BOÏL,922023,,,NO,SUSTITUCIÓN INDETERMINADA,161,
206,MATEMÁTICAS,VALÈNCIA,ALBAL,46022831,9,IES D'ALBAL,901932,,,NO,SUSTITUCIÓN INDETERMINADA,,
206,MATEMÁTICAS,VALÈNCIA,LA POBLA LLARGA,46023948,44,IES PERE D'ESPLUGUES,827662,6,,NO,SUSTITUCIÓN DETERMINADA,247,
207,FÍSICA Y QUÍMICA,ALACANT,ONDARA,03014940,79,IES XEBIC,214339,,,NO,VACANTE,106,
207,FÍSICA Y QUÍMICA,ALACANT,LA VILA JOIOSA,03008915,107,IES MARCOS ZARAGOZA,210808,6,,NO,SUSTITUCIÓN DETERMINADA,,
